"id","sigla_instituicao","uf_instituicao","pais_instituicao","qtd_formacoes"
15891,"UF","","Estados Unidos","583"
18608,"FEUSP","SP","Brasil","574"
3632,"USC","","Espanha","570"
16597,"UEMG","MG","Brasil","561"
3771,"UFP","","Portugal","559"
1334,"UNP","RN","Brasil","553"
11065,"FECAP","SP","Brasil","553"
11341,"CESUMAR","PR","Brasil","546"
16196,"UAM","","Espanha","545"
14450,"UNIVAS","MG","Brasil","542"
12130,"UNIDERP","MS","Brasil","534"
18752,"UNIBAN","SP","Brasil","534"
19097,"ITE","SP","Brasil","533"
10130,"UNIFENAS","MG","Brasil","531"
10138,"FDUSP","SP","Brasil","524"
21398,"FMVZUSP","SP","Brasil","519"
934,"UH","","Cuba","515"
10791,"UFN","RS","Brasil","515"
18765,"UNISAL","","Paraguai","513"
2560,"URCA","CE","Brasil","513"
15434,"UNIVEM","SP","Brasil","502"
5976,"EPUSP","SP","Brasil","496"
4767,"IMIP","PE","Brasil","493"
13220,"UENP","PR","Brasil","491"
17540,"UNIROMA","","Itália","491"
2666,"IAC","SP","Brasil","490"
8228,"FICS","","Paraguai","486"
5098,"ON","RJ","Brasil","482"
1781,"UGR","","Espanha","480"
12985,"UNAM","","México","478"
5987,"IFF","RJ","Brasil","476"
13467,"UTIC","","Paraguai","476"
4578,"UNISUAM","RJ","Brasil","475"
6533,"EGN","RJ","Brasil","473"
15533,"FMU","SP","Brasil","470"
3323,"UCES","","Argentina","469"
21734,"UNIORIZONTES","MG","Brasil","469"
16408,"FAUUSP","SP","Brasil","466"
11745,"UV","","Espanha","463"
13756,"IFCE","CE","Brasil","461"
4563,"UNA","MG","Brasil","459"
4601,"FVC","BA","Brasil","452"
12246,"FUNIBER","SC","Brasil","451"
2746,"UE","","Portugal","450"
15569,"FORPUSP","SP","Brasil","447"
5059,"UNR","","Argentina","447"
1992,"UNIRITTER","RS","Brasil","447"
6884,"PARIS8","","França","445"
6333,"FMC","MG","Brasil","440"
3731,"PARIS3","","França","440"
20347,"PARIS7","","França","439"
16424,"FADISP","SP","Brasil","439"
633,"CAES","SP","Brasil","431"
8251,"LNCC","RJ","Brasil","430"
17323,"COPPEUFRJ","RJ","Brasil","429"
15223,"UNIC","MT","Brasil","429"
15342,"FJP","MG","Brasil","425"
462,"UNALBOGOTA","","Colômbia","425"
20891,"FCU","","Estados Unidos","422"
3018,"IBT","SP","Brasil","422"
18388,"FCL","SP","Brasil","421"
11257,"USC","SP","Brasil","419"
14045,"FOPUNICAMP","SP","Brasil","415"
15489,"UCL","","Bélgica","412"
18213,"ENSPFIOCRUZ","RJ","Brasil","410"
8547,"UNICEUMA","MA","Brasil","408"
8249,"CAM","","Inglaterra","406"
754,"OX","","Inglaterra","405"
8724,"INCA","RJ","Brasil","399"
106,"ECAUSP","SP","Brasil","399"
2141,"US","","Espanha","398"
2759,"FFCLRPUSP","SP","Brasil","398"
18764,"FGV","SP","Brasil","397"
6862,"FDV","ES","Brasil","396"
16469,"FAJE","MG","Brasil","389"
9180,"NYU","","Estados Unidos","388"
11509,"UAL","","Portugal","386"
12448,"UNIPLAC","SC","Brasil","378"
7268,"MSU","","Estados Unidos","358"
16247,"UPAP","","Paraguai","356"
19822,"UNISANTA","SP","Brasil","356"
10146,"UNILA","PR","Brasil","356"
18342,"UDE","","Uruguai","356"
12606,"IEPSCBH","MG","Brasil","355"
3413,"FCFRPUSP","SP","Brasil","348"
19868,"IAMSPE","SP","Brasil","348"
2701,"ICFUC","RS","Brasil","345"
15994,"UESPI","PI","Brasil","345"
14401,"CDTN","MG","Brasil","343"
8565,"CUML","SP","Brasil","342"
8001,"FGVRJ","RJ","Brasil","341"
17974,"UNIPLI","RJ","Brasil","340"
11660,"COLUMBIA","","Estados Unidos","339"
14321,"OSU","","Estados Unidos","339"
3017,"UBI","","Portugal","337"
9456,"UNIFOA","RJ","Brasil","336"
4037,"IPUSP","SP","Brasil","335"
1290,"ESAO","","Brasil","333"
17797,"CPQAM","PE","Brasil","332"
8041,"UNINTER","","Paraguai","330"
15173,"UNICURITIBA","PR","Brasil","326"
607,"HARVARD","","Estados Unidos","326"
691,"FDUC","","Portugal","325"
6528,"IFG","GO","Brasil","324"
16680,"UPM","","Espanha","320"
9302,"IBMEC","SP","Brasil","318"
4958,"UVACE","CE","Brasil","318"
1310,"UPV","","Espanha","317"
16655,"CEETEPS","SP","Brasil","316"
8468,"ICBUSP","SP","Brasil","311"
20729,"UNLP","","Argentina","310"
3241,"UTL","","Portugal","309"
18703,"SOBRATI","SP","Brasil","309"
4176,"UDEM","","Canadá","308"
12200,"STANFORD","","Estados Unidos","302"
17389,"UNINTER","PR","Brasil","300"
6036,"UAH","","Espanha","299"
7005,"UNIBO","","Itália","299"
11557,"UNIDA","ES","Brasil","298"
18026,"FMVZ","SP","Brasil","295"
9809,"UPO","","Espanha","293"
11374,"CORNELL","","Estados Unidos","292"
21475,"UA","","Espanha","288"
10792,"FUSVE","RJ","Brasil","288"
2675,"CESJF","MG","Brasil","288"
7360,"IFSUL","RS","Brasil","286"
9309,"USC","","Paraguai","286"
12659,"FEUP","","Portugal","286"
13311,"UNISAGRADO","SP","Brasil","285"
20298,"CESAR","PE","Brasil","285"
12036,"INSPER","SP","Brasil","284"
10266,"IFRN","RN","Brasil","283"
5227,"UEP","","Paraguai","283"
10036,"IFRJ","RJ","Brasil","281"
12675,"UNIARARAS","SP","Brasil","280"
13672,"USC","","Estados Unidos","280"
10046,"MPEG","PA","Brasil","277"
18588,"EELUSP","SP","Brasil","275"
13246,"MIT","","Estados Unidos","275"
5512,"CCD","SP","Brasil","272"
10607,"HCFMUSP","SP","Brasil","272"
6477,"EERP","SP","Brasil","272"
4971,"IPJBRJ","RJ","Brasil","271"
1919,"UNADES","","Paraguai","269"
10995,"IFSP","SP","Brasil","268"
15643,"FFCLRP","SP","Brasil","267"
19194,"FUB","","Alemanha","266"
857,"ESDHC","MG","Brasil","265"
16596,"UCO","","Espanha","264"
16335,"MANCHESTER","","Inglaterra","263"
16605,"FSP","SP","Brasil","263"
21521,"UBC","SP","Brasil","262"
2876,"UFSB","BA","Brasil","262"
2970,"UPS","","França","262"
9673,"LISECNRS","","França","260"
8512,"PARISSUD11","","França","257"
8714,"FMB","SP","Brasil","255"
5089,"FDUL","","Portugal","254"
19918,"LMU","","Alemanha","254"
12166,"UNIEVANGELICA","GO","Brasil","254"
14937,"UNIANSP","SP","Brasil","252"
17254,"UNIVALE","MG","Brasil","252"
3785,"UNC","","Argentina","252"
12301,"UCLV","","Cuba","249"
10357,"UNESPAR","PR","Brasil","249"
15334,"INPI","RJ","Brasil","247"
7366,"UERR","RR","Brasil","246"
14417,"UNIFACCAMP","SP","Brasil","246"
9895,"FCAUNESP","SP","Brasil","245"
21511,"UNITRI","MG","Brasil","245"
5892,"FUIT","MG","Brasil","245"
7617,"CPQRR","MG","Brasil","244"
21161,"FMUFMG","MG","Brasil","244"
19232,"UPMC","","França","244"
7374,"EMESCAM","ES","Brasil","244"
14730,"FADEUP","","Portugal","242"
16603,"LSE","","Inglaterra","239"
18477,"USAL","","Argentina","239"
19871,"UCLA","","Estados Unidos","239"
7683,"UNIBRASIL","PR","Brasil","238"
17847,"USPESALQ","SP","Brasil","237"
19757,"IB","SP","Brasil","237"
8705,"PUC","SP","Brasil","235"
2242,"PUG","","Itália","235"
8923,"ALFA","GO","Brasil","234"
12741,"UNEX","","Espanha","234"
228,"ISEP","RJ","Brasil","233"
2410,"PARISV","","França","233"
14984,"ENCE","RJ","Brasil","233"
9931,"UNINORTE","","Paraguai","233"
5343,"FCFUSP","SP","Brasil","233"
13878,"UNIFACEF","SP","Brasil","231"
3511,"EPM","SP","Brasil","231"
4870,"PURDUE","","Estados Unidos","230"
7255,"UNEC","MG","Brasil","230"
8030,"UMICH","","Estados Unidos","229"
8465,"UNIGRE","","Itália","229"
6826,"UMA","","Portugal","228"
678,"UDELAR","","Uruguai","227"
15075,"FCAV","SP","Brasil","227"
13331,"MCGILL","","Canadá","226"
14395,"ISCTEIUL","","Portugal","226"
19172,"UC","","Estados Unidos","226"
5852,"UNIFESSPA","PA","Brasil","225"
7117,"IFUSP","SP","Brasil","224"
1028,"UNED","","Espanha","224"
14219,"FIA","SP","Brasil","222"
13141,"UFCA","CE","Brasil","220"
5406,"AU","","Estados Unidos","219"
12028,"UNC","SC","Brasil","218"
15139,"SENAIDRBA","BA","Brasil","218"
7809,"LACTEC","PR","Brasil","217"
14298,"FAMEMA","SP","Brasil","217"
135,"MNUFRJ","RJ","Brasil","217"
18202,"IMED","RS","Brasil","216"
11575,"CENA","SP","Brasil","215"
2412,"IPARS","RS","Brasil","214"
5781,"UP","","Moçambique","214"
882,"FMBUNESP","SP","Brasil","214"
5485,"UVA","","Espanha","213"
5810,"WISC","","Estados Unidos","213"
11199,"UCL","","Inglaterra","213"
14303,"USPRP","SP","Brasil","212"
5679,"EDINBURGH","","Escócia","212"
6130,"UNIB","SP","Brasil","212"
12875,"ACU","","Estados Unidos","212"
6154,"INATEL","MG","Brasil","211"
9148,"CAUNESP","SP","Brasil","211"
18741,"IOC","RJ","Brasil","211"
11884,"SENACSP","SP","Brasil","211"
2036,"UIUC","","Estados Unidos","210"
4750,"EESC","SP","Brasil","209"
21437,"UI","","Paraguai","208"
2102,"UTORONTO","","Canadá","206"
18781,"INMETRO","DF","Brasil","205"
13861,"PARIS4","","França","205"
15795,"UNIPAC","MG","Brasil","205"
20739,"UNIDA","","Paraguai","205"
14139,"PARISX","","França","204"
4769,"UNICASTELO","SP","Brasil","204"
19385,"IPB","","Portugal","204"
6365,"UTCD","","Paraguai","203"
14390,"UDELMAR","","Chile","203"
7151,"UNINI","","México","203"
8975,"ITEP","PE","Brasil","202"
6729,"UNAM","","Argentina","201"
1336,"UNIG","RJ","Brasil","201"
19318,"UR","","Inglaterra","200"
6615,"UJF","","França","200"
18977,"UNASP","SP","Brasil","199"
9899,"BU","","Estados Unidos","199"
3467,"LEEDS","","Inglaterra","199"
12504,"IBUSP","SP","Brasil","199"
7865,"FDSM","MG","Brasil","198"
640,"IQSCUSP","SP","Brasil","198"
12893,"POLIMI","","Itália","198"
18482,"FPP","PR","Brasil","197"
21447,"UNILEON","","Espanha","196"
3806,"FOP","SP","Brasil","196"
16385,"UAB","","Portugal","196"
6757,"UDS","","Paraguai","195"
17498,"IEC","PA","Brasil","194"
13777,"UNICESUMAR","PR","Brasil","193"
4725,"UH","","Alemanha","193"
9825,"SOUTHAMPTON","","Inglaterra","193"
18189,"UC3M","","Espanha","193"
2464,"UNIDERC","PE","Brasil","191"
7655,"CESGRANRIO","RJ","Brasil","189"
1837,"UNIPD","","Itália","187"
13370,"UBC","","Canadá","187"
10580,"PUL","","Itália","186"
10543,"IFMA","MA","Brasil","186"
3306,"ISCUFBA","BA","Brasil","186"
9644,"SOCIESC","SC","Brasil","185"
902,"UPM","SP","Brasil","185"
14035,"ULB","","Bélgica","185"
15084,"UNILAB","CE","Brasil","185"
4905,"FNH","MG","Brasil","185"
15436,"USU","RJ","Brasil","182"
1866,"KULEUVEN","","Bélgica","182"
15960,"UILLINOIS","","Estados Unidos","182"
9863,"UCHICAGO","","Estados Unidos","182"
2021,"FAENQUIL","SP","Brasil","182"
19397,"FVC","ES","Brasil","182"
9972,"IFTM","MG","Brasil","181"
1768,"SUSSEX","","Inglaterra","181"
11436,"UNICRUZ","RS","Brasil","180"
20100,"FCFRP","SP","Brasil","180"
14306,"UGA","","Estados Unidos","180"
5421,"WUR","","Holanda","180"
10869,"UNIFA","RJ","Brasil","180"
